ID;skenario;alt;Choice;Caratanam;Label;price
1;1;1;1;hydroponic;organic;400
1;1;2;0;hydroponic;organic;100
1;2;1;0;hydroponic;nonorganic;400
1;2;2;1;traditional;organic;100
1;3;1;1;hydroponic;nonorganic;100
1;3;2;0;traditional;nonorganic;400
1;4;1;1;hydroponic;organic;300
1;4;2;0;traditional;organic;200
1;5;1;1;traditional;organic;300
1;5;2;0;traditional;organic;200
1;6;1;1;traditional;nonorganic;300
1;6;2;0;hydroponic;organic;200
1;7;1;0;traditional;nonorganic;200
1;7;2;1;traditional;nonorganic;300
1;8;1;0;traditional;organic;100
1;8;2;1;traditional;nonorganic;400
2;1;1;0;traditional;organic;200
2;1;2;1;hydroponic;nonorganic;300
2;2;1;1;hydroponic;organic;400
2;2;2;0;hydroponic;nonorganic;100
2;3;1;0;traditional;organic;100
2;3;2;1;traditional;nonorganic;400
2;4;1;1;traditional;nonorganic;400
2;4;2;0;traditional;organic;100
2;5;1;1;traditional;nonorganic;300
2;5;2;0;traditional;nonorganic;200
2;6;1;1;traditional;nonorganic;300
2;6;2;0;traditional;organic;200
2;7;1;0;hydroponic;nonorganic;200
2;7;2;1;traditional;organic;300
2;8;1;0;traditional;organic;100
2;8;2;1;hydroponic;nonorganic;400
3;1;1;0;hydroponic;organic;200
3;1;2;1;hydroponic;organic;300
3;2;1;0;hydroponic;organic;400
3;2;2;1;traditional;nonorganic;100
3;3;1;0;traditional;organic;100
3;3;2;1;hydroponic;organic;400
3;4;1;1;hydroponic;organic;400
3;4;2;0;hydroponic;organic;100
3;5;1;0;traditional;organic;300
3;5;2;1;hydroponic;nonorganic;200
3;6;1;0;hydroponic;nonorganic;300
3;6;2;1;hydroponic;nonorganic;200
3;7;1;0;traditional;organic;200
3;7;2;1;hydroponic;organic;300
3;8;1;1;traditional;organic;100
3;8;2;0;hydroponic;organic;400
4;1;1;1;hydroponic;nonorganic;200
4;1;2;0;hydroponic;organic;300
4;2;1;1;traditional;nonorganic;400
4;2;2;0;hydroponic;nonorganic;100
4;3;1;0;hydroponic;nonorganic;100
4;3;2;1;hydroponic;organic;400
4;4;1;1;hydroponic;organic;400
4;4;2;0;hydroponic;nonorganic;100
4;5;1;1;hydroponic;nonorganic;300
4;5;2;0;hydroponic;organic;200
4;6;1;1;hydroponic;nonorganic;300
4;6;2;0;traditional;nonorganic;200
4;7;1;1;traditional;nonorganic;200
4;7;2;0;hydroponic;nonorganic;300
4;8;1;0;hydroponic;nonorganic;100
4;8;2;1;traditional;nonorganic;400
5;1;1;0;traditional;organic;200
5;1;2;1;hydroponic;organic;300
5;2;1;0;traditional;nonorganic;400
5;2;2;1;hydroponic;organic;100
5;3;1;1;hydroponic;nonorganic;100
5;3;2;0;traditional;nonorganic;400
5;4;1;0;traditional;nonorganic;400
5;4;2;1;hydroponic;nonorganic;100
5;5;1;0;traditional;nonorganic;300
5;5;2;1;traditional;organic;200
5;6;1;0;traditional;nonorganic;300
5;6;2;1;traditional;organic;200
5;7;1;0;traditional;organic;200
5;7;2;1;traditional;nonorganic;300
5;8;1;0;traditional;nonorganic;100
5;8;2;1;hydroponic;organic;400
6;1;1;1;traditional;nonorganic;200
6;1;2;0;traditional;organic;300
6;2;1;1;hydroponic;nonorganic;400
6;2;2;0;hydroponic;organic;100
6;3;1;0;hydroponic;nonorganic;100
6;3;2;1;traditional;nonorganic;400
6;4;1;1;traditional;organic;400
